cuda:0
Using device: cuda:0

1 Number of Devices Exists

Episode 600	Average Score: -33.95
Episode 601	Average Score: -33.87
Episode 602	Average Score: -33.77
Episode 603	Average Score: -33.70
Episode 604	Average Score: -34.04
Episode 605	Average Score: -34.08
Episode 606	Average Score: -34.04
Episode 607	Average Score: -34.01
Episode 608	Average Score: -33.96
Episode 609	Average Score: -34.06
Episode 610	Average Score: -34.02
Episode 611	Average Score: -33.89
Episode 612	Average Score: -33.75
Episode 613	Average Score: -33.80
Episode 614	Average Score: -33.61
Episode 615	Average Score: -33.71
Episode 616	Average Score: -33.80
Episode 617	Average Score: -33.78
Episode 618	Average Score: -33.66
Episode 619	Average Score: -33.82
Episode 620	Average Score: -33.68
Episode 621	Average Score: -33.64
Episode 622	Average Score: -33.87
Episode 623	Average Score: -33.88
Episode 624	Average Score: -33.88
Episode 625	Average Score: -34.00
Episode 626	Average Score: -33.99
Episode 627	Average Score: -33.76
Episode 628	Average Score: -33.88
Episode 629	Average Score: -33.76
Episode 630	Average Score: -33.76
Episode 631	Average Score: -33.78
Episode 632	Average Score: -33.85
Episode 633	Average Score: -33.82
Episode 634	Average Score: -33.64
Episode 635	Average Score: -33.59
Episode 636	Average Score: -33.53
Episode 637	Average Score: -33.61
Episode 638	Average Score: -33.57
Episode 639	Average Score: -33.44
Episode 640	Average Score: -33.34
Episode 641	Average Score: -33.25
Episode 642	Average Score: -33.30
Episode 643	Average Score: -33.29
Episode 644	Average Score: -33.22
Episode 645	Average Score: -33.12
Episode 646	Average Score: -33.31
Episode 647	Average Score: -33.25
Episode 648	Average Score: -33.45
Episode 649	Average Score: -33.49
Episode 650	Average Score: -33.72
Episode 651	Average Score: -34.17
Episode 652	Average Score: -34.46
Episode 653	Average Score: -34.55
Episode 654	Average Score: -34.48
Episode 655	Average Score: -34.48
Episode 656	Average Score: -34.51
Episode 657	Average Score: -34.53
Episode 658	Average Score: -34.65
Episode 659	Average Score: -34.66
Episode 660	Average Score: -34.53
Episode 661	Average Score: -34.45
Episode 662	Average Score: -34.33
Episode 663	Average Score: -34.24
Episode 664	Average Score: -34.20
Episode 665	Average Score: -34.11
Episode 666	Average Score: -34.31
Episode 667	Average Score: -34.39
Episode 668	Average Score: -34.30
Episode 669	Average Score: -34.14
Episode 670	Average Score: -34.11
Episode 671	Average Score: -34.11
Episode 672	Average Score: -34.16
Episode 673	Average Score: -34.11
Episode 674	Average Score: -34.00
Episode 675	Average Score: -34.07
Episode 676	Average Score: -34.03
Episode 677	Average Score: -33.87
Episode 678	Average Score: -33.94
Episode 679	Average Score: -33.90
Episode 680	Average Score: -34.03
Episode 681	Average Score: -33.95
Episode 682	Average Score: -33.81
Episode 683	Average Score: -33.95
Episode 684	Average Score: -34.04
Episode 685	Average Score: -34.15
Episode 686	Average Score: -33.93
Episode 687	Average Score: -33.98
Episode 688	Average Score: -34.04
Episode 689	Average Score: -34.15
Episode 690	Average Score: -34.25
Episode 691	Average Score: -34.21
Episode 692	Average Score: -34.34
Episode 693	Average Score: -34.41
Episode 694	Average Score: -34.37
Episode 695	Average Score: -34.33
Episode 696	Average Score: -34.41
Episode 697	Average Score: -34.40
Episode 698	Average Score: -34.60
Episode 699	Average Score: -34.64
Episode 700	Average Score: -34.69
Episode 701	Average Score: -34.54
Episode 702	Average Score: -34.67
Episode 703	Average Score: -34.70
Episode 704	Average Score: -34.74
Episode 705	Average Score: -34.70
Episode 706	Average Score: -34.64
Episode 707	Average Score: -34.69
Episode 708	Average Score: -34.35
Episode 709	Average Score: -33.96
Episode 710	Average Score: -33.49
Episode 711	Average Score: -33.45
Episode 712	Average Score: -33.49
Episode 713	Average Score: -33.68
Episode 714	Average Score: -33.73
Episode 715	Average Score: -33.73
Episode 716	Average Score: -33.72
Episode 717	Average Score: -33.79
Episode 718	Average Score: -33.80
Episode 719	Average Score: -33.77
Episode 720	Average Score: -34.00
Episode 721	Average Score: -34.13
Episode 722	Average Score: -34.15
Episode 723	Average Score: -34.11
Episode 724	Average Score: -33.97
Episode 725	Average Score: -33.77
Episode 726	Average Score: -33.71
Episode 727	Average Score: -33.65
Episode 728	Average Score: -33.88
Episode 729	Average Score: -33.81
Episode 730	Average Score: -33.74
Episode 731	Average Score: -33.85
Episode 732	Average Score: -33.74
Episode 733	Average Score: -33.74
Episode 734	Average Score: -33.74
Episode 735	Average Score: -33.63
Episode 736	Average Score: -33.63
Episode 737	Average Score: -33.72
Episode 738	Average Score: -33.49
Episode 739	Average Score: -33.63
Episode 740	Average Score: -33.74
Episode 741	Average Score: -33.67
